Municipality,Classification,Year_Inc,Population,Total_Rev,Sales_Tax_Rev,Property_Tax_Rev,Utility_Tax_Rev,Court_Fines_Rev,Total_Exp,Top_Exp_Type,Median_HH_Inc,Poverty_Rate,HS_Grad_Rate,Median_House_Value,Housing_Units,Percent_White,Percent_Black,Percent_Asian,Percent_Hispanic
Ballwin,4th,1950,30404,21623093,9430333,2007835,3724984,865474,24290710,Capital Outlay,82685,3.5,97.0,237000,11845,89.3,2.5,5.6,2.4
Bel-Nor,4th,1937,1499,908409,237161,84337,66430,67794,935464,Police,67308,5.6,96.2,139200,734,48.7,46.4,2.2,2.3
Bel-Ridge,4th,1947,2737,2037856,597385,322727,58613,373644,2101021,Police,23520,40.8,80.7,64300,1378,14.2,83.1,1.9,4.3
Bella Villa,4th,1947,729,702969,45004,0,0,416373,808150,Police,52829,6.0,85.1,114100,364,92.6,1.9,0.2,0.5
Bellefontaine Neighbors,4th,1950,10860,8782944,2339048,580009,1449568,1218842,8436187,Police,36823,23.8,93.5,76800,4513,25.7,72.7,0.2,0.5
Bellerive Acres,4th,1939,188,266027,45004,30581,38355,65006,248411,Administration,103750,3.0,92.5,264500,85,54.8,43.1,0.2,0.8
Berkeley,Charter,1937,8978,11911505,3359148,2158838,2613767,1195744,9985736,Public Safety,32182,26.1,84.5,64500,4138,14.3,81.2,0.4,3.5
Beverly Hills,4th,1935,574,826904,869587,118662,100271,649475,826904,Police,31648,20.0,87.5,53285,256,4.2,92.7,0.2,2.8
Black Jack,3rd,1970,6929,2910119,1500734,308849,409682,110868,2302159,Police,53285,19.3,92.7,141100,2809,16.3,81.2,0.4,0.7
Breckenridge Hills,3rd,1950,4746,2680534,869587,92592,303537,649475,2636059,Police,31648,21.9,79.2,75200,2146,52.3,32.5,0.4,15.6
Brentwood,4th,1919,8055,24073658,13547391,4124973,3061715,338198,25889049,Debt Service,73358,5.3,97.5,191700,4274,87.5,3.1,6.8,2.8
Bridgeton,Charter,1843,11550,21298574,11913136,660579,2940998,431414,25209171,Police,44822,19.3,92.1,159700,5017,72.4,18.7,2.5,6.4
Calverton Park,4th,1940,1293,928799,367501,0,10851,524266,777328,Police,39750,15.8,87.1,77000,542,53.8,42.2,0.2,2.9
Champ,Village,1959,13,46094,0,0,41295,0,64572,Police,40625,0.0,81.8,0,5,100.0,0.0,0.0,0.0
Charlack,4th,1945,1363,1012798,623154,0,0,234601,0,,44940,6.3,93.9,84300,669,55.8,35.4,1.5,6.4
Chesterfield,3rd,1988,47484,40715574,19706655,947075,7429472,1177957,42104611,Police,94263,4.8,96.8,321000,20305,82.9,2.6,8.6,2.2
Clarkson Valley,4th,1989,2632,931387,404792,169421,99736,140673,832688,Police,171000,2.8,99.7,606600,884,92.9,1.5,3.5,0.3
Clayton,Charter,1913,15939,30430471,6186273,7095591,5452949,1067415,32107835,Public Safety,95500,6.8,96.9,606600,6783,78.0,8.2,10.8,3.1
Cool Valley,4th,1951,1196,1016326,255445,37691,210692,271181,1291502,Police,43424,8.0,80.6,81100,605,11.8,84.5,0.3,0.4
Country Club Hills,4th,1943,1274,1150238,262793,169469,142799,326823,1362934,Police,23636,47.3,70.7,56100,445,8.2,90.9,0.3,0.2
Country Life Acres,Village,1946,74,91047,10644,2120,2007,0,105771,Fire,174583,7.8,100.0,1000001,43,95.9,2.8,0.0,1.4
Crestwood,Charter,1949,11912,12227321,5922020,1093692,1618659,220323,11399445,Public Safety,66842,5.0,94.6,182000,5234,93.8,1.6,2.4,1.1
Creve Coeur,Charter,1949,17833,18607694,6871143,558971,617405,1546944,21319410,Public Safety,92033,6.4,97.3,348200,7854,79.9,7.2,10.1,2.6
Crystal Lake Park,4th,1957,470,310383,98131,112219,41220,0,237979,Police,119643,2.1,99.6,368400,231,95.0,2.8,0.0,1.1
Dellwood,4th,1951,5025,3029467,2057552,0,0,333341,3001188,Police,42284,24.2,88.5,81300,1749,18.7,79.2,0.2,1.1
Des Peres,4th,1934,8373,20904765,12699174,0,1216374,430281,20402886,Public Safety,116173,2.7,98.1,362600,3249,94.3,0.9,3.1,1.3
Edmundson,4th,1948,834,2546057,948232,82532,127179,478807,2422188,Police,32619,19.2,78.1,80900,456,56.5,26.4,1.6,12.0
Ellisville,Charter,1932,9133,9838127,5392558,293833,1896688,205204,10130389,Administration,75054,4.9,95.2,217200,3726,91.7,1.9,4.3,2.4
Eureka,4th,1954,10189,9307839,5120853,826135,1261238,225087,13608025,Capital Outlay,82596,4.6,93.1,238900,3249,94.3,0.4,2.1,1.9
Fenton,4th,1837,4022,11508493,6741545,0,1463607,447341,12150369,Capital Outlay,92321,7.1,95.2,220000,1486,95.5,0.4,2.1,2.0
Ferguson,Charter,1894,21203,19196634,7687363,3327974,2459500,2096617,25507313,Public Safety,40660,22.7,86.9,89600,9818,29.3,67.4,0.4,1.2
Flordell Hills,4th,1946,822,546538,201217,15979,33032,225861,546538,Administration,35268,24.8,80.8,60600,403,5.8,90.8,0.1,1.7
Florissant,Charter,1786,52158,31854527,15694200,0,6348324,2491846,31871094,Police,51415,8.2,92.1,99500,23720,69.3,26.8,0.8,1.3
Frontenac,4th,1947,3482,8616840,4557214,1175159,1024281,510188,8175295,Fire,126042,5.4,99.4,646000,1534,90.1,2.6,5.6,1.5
Glen Echo Park,Village,1938,160,57046,24206,18389,2971,0,43519,Trash Collection,56250,0.0,100.0,102800,54,96.7,8.1,0.9,1.3
Glendale,4th,1912,5925,5359655,1135323,769414,545982,195253,5377337,Fire,113565,1.0,99.4,322600,2221,97.0,0.6,0.8,1.6
Grantwood Village,Village,1937,863,405937,139816,76702,1982,36820,349984,Highways and Streets,102143,5.6,98.4,328500,366,92.5,2.3,3.5,0.8
Green Park,4th,,2622,1676312,824098,0,545092,0,2190494,Administration,52232,6.3,87.1,148900,1079,91.5,1.4,4.7,1.8
Greendale,4th,1950,651,405937,139816,44244,65933,50981,350022,Administration,53542,8.1,95.0,95500,340,28.0,68.5,0.8,0.8
Hanley Hills,Village,1948,2101,800219,409995,91072,38520,121142,844308,Reconciliation Discrepancies,31293,31.2,81.4,47600,1053,2.2,95.4,0.4,1.3
Hazelwood,Charter,1949,25703,38720756,13680453,10857634,3419259,1847704,37128082,Police,44855,14.0,91.4,105900,11360,64.1,30.5,1.4,3.0
Hillsdale,Village,1947,1478,935919,313977,95778,69723,316009,997232,Police,23125,42.6,76.5,47600,690,2.2,95.9,0.0,1.2
Huntleigh,4th,1929,334,155540,48840,82693,57728,0,211998,Public Safety,145208,17.7,97.3,1000001,153,91.5,0.4,2.1,0.6
Jennings,3rd,1946,14712,11579509,5480440,846487,1817675,727982,13083079,Police,27785,27.7,83.8,74500,7281,3.4,94.6,0.7,1.1
Kinloch,4th,1948,298,265891,46535,22692,17790,43336,271875,Administration,15000,50.2,89.1,196300,232,2.9,93.7,0.5,3.3
Kirkwood,Charter,1865,27540,27783803,9368286,4380226,3730226,599254,28687884,Police,77420,5.7,97.1,211900,12214,89.4,7.0,1.4,1.8
Ladue,4th,1936,8521,16805815,4338408,4520958,3470981,589480,18015545,Fire,179464,1.5,95.3,741500,3472,93.3,3.1,2.3,0.7
Lakeshire,4th,1951,1432,591404,299040,56956,121293,22324,527164,Capital Outlay,39826,18.4,92.8,132100,838,78.0,11.9,6.0,4.5
Mackenzie,Village,1946,134,51308,20098,3119,6556,0,43674,Trash Collection,70000,1.6,87.0,124100,64,93.2,6.3,0.3,0.0
Manchester,4th,1959,18094,18713790,12257239,1975207,1606432,467784,18909536,Debt Service,81489,6.5,94.7,211900,7103,81.3,11.9,5.6,1.6
Maplewood,Charter,1908,8046,15117862,7230054,2629248,2058967,1075639,24632957,Community Development,34510,20.8,84.7,155100,5100,21.5,69.7,0.3,0.8
Marlborough,Village,1944,2179,877689,320304,279904,63268,96198,420441,Police,36763,12.4,93.5,124100,1485,96.2,2.2,0.4,3.3
Maryland Heights,3rd,1985,27472,36261487,9505602,0,33560,2056723,36871977,Police,58744,10.4,92.0,155100,12214,73.2,11.9,10.7,2.8
Moline Acres,4th,1949,2442,2049957,656485,223624,231624,600837,3469722,Capital Outlay,44826,22.1,87.8,71500,1038,1.5,96.4,0.0,1.2
Normandy,3rd,1945,5008,4462076,994997,157379,781510,1502614,4570783,Public Safety,24744,31.9,85.0,81200,2608,4.3,93.9,0.3,0.9
Northwoods,4th,1940,4227,3879096,1032872,488066,727748,475564,3867343,Administration,38165,24.6,81.8,71500,1998,1.5,96.4,0.0,1.2
Norwood Court,Village,1949,959,226182,162118,0,13155,0,208657,Police,30592,23.4,96.0,81200,451,2.8,93.4,0.0,1.4
