Asset Type,Asset Name,lat,long
Start-Up Space,T-Rex,38.63129749,-90.19320926
Start-Up Space,39 North,38.67593435,-90.39521092
Innovation District,Cortext,38.63457187,-90.25236365
University,WashU,38.64867216,-90.310646
Venture Capital,BioSTL,38.63551241,-90.25396998
Venture Capital,Cultivation Capital T-Rex,38.63129749,-90.19320926
Venture Capital,Cultivation Capital 39 North,38.67601301,-90.3952549
Venture Capital,Arch Grants,38.63407305,-90.21282033
Venture Capital,Lewis and Clark Capital,38.64785341,-90.337881
Venture Capital,iSelect Fund,38.62875086,-90.3469274
Federal Agency,National Geospatial Intelligence Agency,38.64668373,-90.21079923
Research Institute,Taylor Geospatial Institute,38.63592233,-90.23225445
Innovation Center,Missouri Botanic Garden,38.61566991,-90.25814883
Innovation Center,Gateway South,38.61748359,-90.18973761
Training Center,Advanced Manufacturing Innovation Center,38.65278833,-90.24869554
Research Institute,Danforth Plant Science Center,38.67450243,-90.39686602
Innovation Center,Bio Research & Development Growth Park,38.67604018,-90.39688358
Venture Capital,Missouri Technology Corporation,38.63435942,-90.25033779
Major Copmany,Boeing Space and Defense,38.75070237,-90.34320033
Fortune 500,Centene,38.64931885,-90.33460859
Fortune 500,Reinsurance Group of America,38.66129921,-90.56662368
Fortune 500,Emerson Electric,38.65062857,-90.34083181
Fortune 500,Edward Jones,38.60435485,-90.44703072
Fortune 500,Graybar,38.65160889,-90.33909693
Fortune 500,Post Holdings,38.61659555,-90.33501369
Fortune 500,Core & Main,38.69191786,-90.44169742
Fortune 500,Expres Scripts,38.71861317,-90.31066989
Major Copmany,Anheuser-Busch,38.59891065,-90.21373433
Major Copmany,Purina,38.61938968,-90.19858389
Major Copmany,Bayer (formerly Monsanto),38.67009253,-90.39944571
Major Copmany,Pfizer,38.65862454,-90.55634832
Regional Development Entitiy,East-West Gateway,38.62476092,-90.18807174
Regional Development Entitiy,Greater St. Louis Inc,38.62743299,-90.18965768
Regional Development Entitiy,The Freightway,38.62743299,-90.18965768
Federal Agency,St. Louis Federal Reserve,38.62861783,-90.18841599
